[1017/234733.281:ERROR:gpu_init.cc(440)] Passthrough is not supported, GL is disabled, ANGLE is 
[1018/104602.123:ERROR:gpu_init.cc(440)] Passthrough is not supported, GL is disabled, ANGLE is 
[1018/225346.454:ERROR:gpu_init.cc(440)] Passthrough is not supported, GL is disabled, ANGLE is 
[1019/090737.659:ERROR:gpu_init.cc(440)] Passthrough is not supported, GL is disabled, ANGLE is 
[1019/093538.581:ERROR:gpu_init.cc(440)] Passthrough is not supported, GL is disabled, ANGLE is 
[1020/002354.669:ERROR:gpu_init.cc(440)] Passthrough is not supported, GL is disabled, ANGLE is 
[1020/095021.515:ERROR:gpu_init.cc(440)] Passthrough is not supported, GL is disabled, ANGLE is 
[1022/090826.173:ERROR:gpu_init.cc(440)] Passthrough is not supported, GL is disabled, ANGLE is 
[1025/235251.673:ERROR:gpu_init.cc(440)] Passthrough is not supported, GL is disabled, ANGLE is 
[1026/173256.869:ERROR:gpu_init.cc(440)] Passthrough is not supported, GL is disabled, ANGLE is 
[1026/201718.166:ERROR:gpu_init.cc(440)] Passthrough is not supported, GL is disabled, ANGLE is 
[1029/230103.423:ERROR:gpu_init.cc(440)] Passthrough is not supported, GL is disabled, ANGLE is 
[1030/120136.119:ERROR:gpu_init.cc(440)] Passthrough is not supported, GL is disabled, ANGLE is 
[1030/235233.183:ERROR:gpu_init.cc(440)] Passthrough is not supported, GL is disabled, ANGLE is 
[1031/014729.995:ERROR:gpu_init.cc(440)] Passthrough is not supported, GL is disabled, ANGLE is 
[1031/230325.592:ERROR:gpu_init.cc(440)] Passthrough is not supported, GL is disabled, ANGLE is 
[1101/115539.626:ERROR:gpu_init.cc(440)] Passthrough is not supported, GL is disabled, ANGLE is 
[1101/231242.913:ERROR:gpu_init.cc(440)] Passthrough is not supported, GL is disabled, ANGLE is 
